EDAD,GASTOFI_TOTAL,test
21,46,50,98
23,44,94,02
29,46,35,63
31,35,151,96
35,15,108,47
38,23,40,25
39,36,193,32
46,45,77,79
50,24,213,23
57,52,24,8
58,59,1026,56
59,65,29,91
61,26,109,89
78,47,41,11
89,56,388,78
94,30,12,87
97,34,387,76
100,45,44,71
106,58,99,46
107,55,738,87
109,50,256,46
112,53,46,98
119,15,245,69
123,43,300,1
135,58,532,58
137,28,305,98
161,33,77,47
165,30,46,22
168,35,230,13
177,34,45,02
178,49,688,24
182,48,272,23
183,53,83,57
195,32,406,31
197,54,36,32
199,22,153,12
201,58,36,96
203,56,563,1
210,67,377,29
219,28,58,27
220,17,35,35
223,38,206,75
230,57,88,85
247,34,124,19
249,53,50,72
254,63,50,76
265,66,413,78
270,62,119,53
272,46,24,81
275,33,58,35
279,80,559,36
292,38,573,39
293,72,114,94
295,37,62,94
296,30,54,28
299,69,377,67
301,48,64,71
302,40,313,41
308,33,71,98
310,41,158,25
311,32,361,79
313,65,160,17
326,21,72,58
337,33,1413,37
339,65,52,01
341,39,86,66
343,46,133,31
356,76,30,2
360,19,292,17
364,59,124,69
377,35,28,18
379,29,31,85
383,16,116,79
392,46,43,67
398,47,346,42
403,38,137,27
404,44,98,79
409,51,325,14
413,73,414,61
416,52,27,66
438,39,180,61
440,45,67,28
443,59,35,91
448,51,94,39
462,65,65,33
466,79,20,74
470,68,426,79
476,74,248,22
483,41,91,47
487,46,25,25
495,56,65,4
504,36,40,05
507,36,145,87
511,31,56,08
517,18,1005,82
526,44,105,67
537,43,93,89
541,65,514,71
544,43,236,56
546,41,61,08
562,57,88,16
563,32,48,25
569,49,287,87
579,63,214,34
582,44,17,94
595,41,488,78
598,43,132,49
602,44,102,75
603,53,53,8
604,37,95,1
622,37,105,01
626,42,282,42
633,44,246,81
636,23,95,64
650,34,44,52
651,51,138,5
653,20,466,44
665,55,141,87
670,51,853,44
675,47,183,72
690,28,24,64
720,61,370,38
721,57,107,83
722,32,80,56
725,53,45,81
739,55,529,61
742,53,41,64
743,39,46,5
744,41,854,69
755,48,52
760,67,118,24
764,23,103,35
773,67,338,75
775,36,188,62
776,27,73,15
782,65,126,07
791,85,191,45
792,37,53,57
799,56,338,66
810,40,95,46
811,55,305,78
815,59,31,21
824,46,738,48
825,45,28,51
829,31,45,49
837,52,263,47
838,46,107,59
841,51,103,08
849,30,259,37
853,35,175,32
