MES,ANYO,IDSEC,ORDEN_VIAJE,ORDEN_REP,CCAADEST,PROVDEST,PAISDEST,DESTESP,MOTIV,TIPOVIAJ,NPERNOC,NPERNOC_CORR,VIAJA_SOLO,VIAJA_PAREJA,VIAJA_HIJOS,VIAJA_OTROSFAMILIARES,VIAJA_AMIGOS,VIAJA_COMPTRABAJO,ALOJAPRIN,NESTR_PPAL,TRANSPRIN,LOW_COST,AVE,PAQUETE,PAQ_TRANSP,PAQ_ALOJA,PAQ_COMBEB,PAQ_ACT,BLOQUE_ETAPAS,IMPU_PARCIAL,PAGO_ALOJA,PAGO_TRANS,PAGO_MANUT,GASTO_PAQ,GASTOFI_PAQ,GASTO_ALOJA,GASTOFI_ALOJA,GASTO_TRANS,GASTOFI_TRANS,GASTO_BAREST,GASTOFI_BAREST,GASTO_ACT,GASTOFI_ACT,GASTO_BIENDUR,GASTOFI_BIENDUR,GASTO_RESTO,GASTOFI_RESTO,GASTOFI_TOTAL,ACTI_GOLF,ACTI_DEPOR,ACTI_NAVEGA,ACTI_OTROSNAUTICOS,ACTI_CAZA,ACTI_SENDER,ACTI_AVENTURA,ACTI_CABALLO,ACTI_OTROSDEPORTES,ACTI_ESPECDEPOR,ACTI_VISITASCULTU,ACTI_ESPECULTU,ACTI_OTRASCULTU,ACTI_CIUDADES,ACTI_RURALES,ACTI_TEMATICOS,ACTI_RELAX,ACTI_JUEGOS,ACTI_GASTRO,ACTI_DIVER,ACTI_RELIGION,ACTI_CONGRESOS,ACTI_AREASNATU,ACTI_PLAYA,ACTI_FAMILIA,ACTI_COMPRAS,GRADO_SATISF,FIDELIDAD_DEST,MIEMV,MIEMV_15MAS,MIEMV_15MENOS,SEXO,EDAD,CCAA_RESIDENCIA,TAMAMU,URBA,PAISNAC,NACION,PAISNACIO,ECIVIL,CONV,NIVELEST,RELAECON,MH,INGR_HOG,CORR15_VT,FACTORVI_15MAS,FACTORVI_TOT,FACTORGAS_TOT
02,2015,00021,01,01,09,08,108,1,02,02,2,2,0,1,1,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"10,87",1,"26,25",1,"13,86",6,0,6,0,"50,98",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08,1,3,2,1,2,046,09,4,2,1,1,1,2,1,4,1,3,3,"1,713964","5772,04876","9893,083781","7832,566271"
02,2015,00023,01,02,12,27,108,1,04,02,3,3,0,1,1,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"15,33",1,"55,23",6,0,6,0,1,"23,46","94,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,08,1,2,1,1,2,044,03,1,1,1,1,1,1,3,4,1,2,3,"2,368603","521,570277","1235,392924","878,481601"
02,2015,00029,02,01,04,07,108,1,02,02,1,1,0,0,0,0,1,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"35,63",6,0,6,0,6,0,6,0,"35,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,1,0,2,046,04,1,1,1,1,1,1,3,4,1,2,5,1,"188,609423","188,609423","188,609423"
02,2015,00031,01,04,13,28,108,1,16,03,2,2,1,0,0,0,0,0,09,,05,,,6,,,,,6,6,1,1,1,6,0,1,"42,19",1,"69,29",1,"40,48",6,0,6,0,6,0,"151,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,0,1,035,06,3,2,1,1,1,1,3,4,1,1,5,1,"415,797449","415,797449","415,797449"
02,2015,00035,01,01,03,33,108,1,05,02,1,1,0,0,0,0,1,0,01,3,09,,,6,,,,,6,6,,,,6,0,1,"67,11",1,"41,36",6,0,6,0,6,0,6,0,"108,47",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09,1,1,1,0,1,015,06,5,2,1,1,1,1,3,,,3,3,1,"648,502817","648,502817","648,502817"
02,2015,00038,01,01,01,11,108,1,08,02,1,1,0,0,0,1,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"23,37",6,0,6,0,6,0,1,"16,88","40,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,2,023,18,2,1,1,1,1,1,3,4,4,1,1,1,"61,547565","61,547565","61,547565"
02,2015,00039,01,01,01,18,108,1,05,02,1,1,0,0,1,0,0,0,01,4,05,,,1,6,1,1,6,6,6,,,,1,"52,25",6,0,1,"33,08",1,"35,7",1,"72,29",6,0,6,0,"193,32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,09,1,3,1,2,1,036,08,2,1,1,1,1,2,1,4,1,5,5,"3,300657","3048,070089","10060,633876","6554,351983"
02,2015,00046,01,01,16,20,108,1,02,02,1,1,0,0,0,0,1,0,05,,05,,,6,,,,,6,6,,,,6,0,1,"33,54",1,"15,95",1,"28,3",6,0,6,0,6,0,"77,79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,07,6,1,1,0,2,045,17,1,1,1,1,1,1,3,4,1,1,2,1,"154,490535","154,490535","154,490535"
02,2015,00050,01,01,07,05,108,1,15,02,2,2,0,1,0,0,0,0,05,,05,,,6,,,,,6,6,,,,6,0,1,"111,51",1,"39,86",1,"61,86",6,0,6,0,6,0,"213,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,024,13,1,1,1,1,1,1,3,4,4,4,4,1,"6168,764555","6168,764555","6168,764555"
02,2015,00057,01,01,01,29,108,1,08,02,1,1,0,1,0,0,0,0,10,,05,,,6,,,,,6,6,,,,6,0,6,0,6,0,1,"14,39",6,0,6,0,1,"10,41","24,8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,2,2,0,2,052,01,1,1,1,1,1,2,1,4,1,4,4,1,"4460,704424","4460,704424","4460,704424"
